gene_name	confidence
ABCC12	4
ABCC5	4
ABCC8	4
ABCD1	4
ABCG2	4
ABHD12	4
ACAA1	4
ACADVL	4
ACP6	4
ACSL3	4
ACTA2	4
ACTB	4
ADHFE1	4
ADRM1	4
AFAP1L2	4
AGR2	4
AGXT2L2	4
AHNAK	5
AHNAK2	5
AIDA	4
AIFM3	4
AIMP1	4
AKR1B10	4
AKR7A2	4
ALAS2	4
ALDH1A3	4
ALDH3A1	4
ALDOA	4
ALG14	4
ALKBH1	4
AMY1C	4
AMY2A	4
AMY2B	4
ANGPTL4	4
ANKRD11	4
ANP32B	4
ANPEP	4
ANXA2	4
ANXA7	4
ANXA8L1	4
AOAH	4
AP1AR	4
AP3B1	4
AP3S1	4
APLP2	4
APOBEC2	4
APOBEC3D	4
APOBEC3F	4
APOC3	4
APOL1	4
APOL2	4
APOL3	4
APOL4	4
APP	4
AQP12A	4
ARAP1	4
ARF1	4
ARHGAP1	4
ARHGAP27	4
ARHGAP33	4
ARHGAP4	4
ARHGEF19	4
ARPC1A	4
ARRB2	4
ARSE	4
ASMTL	4
ASPHD1	4
ATF6	4
ATIC	4
ATL3	4
ATP1A1	4
ATP5H	4
ATP6V0A1	4
AURKAIP1	4
B2M	4
B3GNT6	4
B4GALT7	4
B5MC82_HUMAN	4
BACE1	4
BACE1.1-201	4
BAHD1	4
BCAP31	4
BCAR1	4
BCL2L14	4
BCL7C	4
BCLAF1	4
BICD2	4
BLOC1S2	4
BLVRB	4
BOP1	4
BRWD1	4
BSG	4
BTF3	4
BTG1	4
BYSL	4
C10orf10	4
C10orf116	4
C10orf35	4
C11orf68	4
C16orf62	4
C19orf33	4
C19orf70	4
C21orf2	4
C2CD2	4
C2CD2L	4
C2orf43	4
C4orf46	4
C8orf44	4
CA1	4
CA11	4
CA13	4
CA5B	4
CACFD1	4
CACNA1D	4
CALM2	4
CALR	4
CAMK1D	4
CANT1	4
CAP1	4
CAPN1	4
CAPN2	4
CAPN5	4
CAPNS1	4
CAPZA2	4
CASZ1	4
CBFA2T3	4
CCDC107	4
CCDC130	4
CCDC22	4
CCK	4
CCL14	4
CCL19	4
CCL2	4
CCL20	4
CCL21	4
CCL22	4
CCL3L1	4
CCL3L3	4
CCNDBP1	4
CCNI2	4
CCNO	4
CCR6	4
CCRL2	4
CCT7	4
CD1D	4
CD2	4
CD247	4
CD38	4
CD4	4
CD44	4
CD48	4
CD5	4
CD5L	4
CD63	4
CD69	4
CD72	4
CD74	4
CD99	4
CDADC1	4
CDC23	4
CDC42EP1	4
CDC42EP2	4
CDC42EP4	4
CDCA7	4
CDH1	4
CEACAM6	4
CEBPA	4
CEL	4
CELA2A	4
CELA2B	4
CELA3A	4
CELA3B	4
CEP63	4
CEPT1	4
CETP	4
CFL1	4
CHCHD10	4
CHCHD2	4
CHGA	4
CHGB	4
CHSY3	4
CITED2	4
CKAP4	4
CLPS	4
CLU	4
CMTM5	4
CNIH	4
CNIH2	4
COA5	4
COL17A1	4
COL1A1	4
COL1A2	4
COL3A1	4
COPS4	4
COX4I1	4
COX8A	4
CPA2	4
CPA4	4
CPB1	4
CPE	4
CPN1	4
CPNE2	4
CPSF1	4
CPSF6	5
CRB3	4
CREB3	4
CSGALNACT2	4
CTBP2	4
CTDSP2	4
CTDSPL	4
CTRB1	4
CTRB2	4
CTRC	4
CTRL	4
CTSB	4
CTSC	4
CTSD	4
CTSS	4
CTSW	4
CTSZ	4
CXCL14	4
CXCR6	4
CYB561D2	4
CYB5A	4
CYB5B	4
CYBASC3	4
CYSLTR1	4
DCAKD	4
DCN	4
DDI1	5
DDX42	4
DDX5	4
DEAF1	4
DEF8	4
DEFA1	4
DEFA1B	4
DEFA3	4
DEPDC1B	4
DFFB	4
DGAT2	4
DGCR6	4
DHRS1	4
DKK3	4
DLK1	4
DMRTC1	4
DNAAF3	4
DNAJB12	4
DNAJB6	4
DNASE1	4
DOK4	4
DOLK	4
DPH2	4
DPM2	4
DSP	5
DUOX2	4
DUS1L	4
DUS3L	4
DUSP22	4
DYNLL1	4
DYRK1B	4
DZIP3	4
E2F1	4
E7EVK2_HUMAN	4
E9PJC4_HUMAN	4
EBI3	4
ECSIT	4
EDF1	4
EDN1	4
EEF1A1	4
EEF1B2	4
EEF1D	4
EFCAB4A	4
EHD2	4
EIF1	4
EIF2AK3	4
EIF4A1	4
EIF4A2	4
EIF4G2	4
ELMO1	4
ELMOD2	4
ELTD1	4
ENO1	4
ENSP00000373091	4
ENSP00000382915	4
ENSP00000388526	4
ENSP00000398056	4
ENSP00000400842	4
ENSP00000401151	4
ENSP00000410071	4
ENSP00000447743	4
ENSP00000458815	4
ENSP00000458947	4
ENSP00000462830	4
ENSP00000469329	4
ENSP00000469782	4
ENSP00000469921	4
ENSP00000472325	4
EPB41L1	4
EPHA2	4
EPHB4	4
EPPK1	5
ERP27	4
ETV7	4
EVA1A	4
EVC	5
EVI2A	4
EVL	4
EZH2	4
F13A1	4
F2RL1	4
F8WBD0_HUMAN	4
FA2H	4
FAHD1	4
FAM101B	4
FAM125A	4
FAM189B	4
FAM3A	4
FAM70B	4
FAM82B	4
FARS2	4
FBL	4
FBXO18	4
FBXO2	4
FBXO27	4
FBXO7	4
FBXW4	4
FEZ1	4
FGFBP1	4
FGFBP2	4
FGFR1	4
FGL2	4
FIGNL1	4
FILIP1L	4
FIS1	4
FITM1	4
FKBP11	4
FKBP8	4
FLNC	4
FLOT2	4
FN1	4
FOLR2	4
FOLR3	4
FOS	4
FOXL2	4
FOXM1	3.3
FOXRED2	4
FRZB	4
FST	4
FTH1	4
FTL	4
FXYD5	4
G6PC2	4
GAD2	4
GALNS	4
GAPDH	4
GBGT1	4
GCC1	5
GCG	5
GCK	4
GDI2	4
GFRA3	4
GGT1	4
GIP	3.1
GIPR	4
GJA4	4
GJB5	4
GJC3	4
GLP1R	4
GNA11	4
GNA12	4
GNA14	4
GNAS	4
GNB2	4
GNB2L1	4
GNMT	4
GOPC	4
GORAB	4
GP2	4
GP9	4
GPBAR1	4
GPBP1L1	4
GPD1	4
GPLD1	4
GPR137	4
GPR160	4
GPR171	4
GPR180	4
GPR55	4
GPRC5C	4
GPX3	4
GPX4	4
GRINA	4
GRTP1	4
GSK3A	4
GSN	4
GSTA4	4
GSTK1	4
GZMB	4
GZMH	4
GZMK	4
GZMM	4
H3BQ75_HUMAN	4
H3F3A	4
H3F3B	4
HARBI1	4
HAVCR2	4
HBA2	4
HBG2	4
HBM	4
HBZ	4
HCAR2	4
HCAR3	4
HCST	4
HDLBP	4
HEATR2	4
HIF3A	4
HINT2	4
HIP1R	4
HIST1H2BK	4
HIST2H2BF	4
HMBOX1	4
HMG20B	4
HMGA1	4
HMGB1	4
HNRNPA1	4
HOMER1	4
HPCAL1	4
HPGD	4
HPN	4
HPSE	4
HSD17B12	4
HSP90AA1	4
HSP90AB1	4
HSP90B1	4
HSPA8	4
HSPB1	4
HSPG2	5
IAPP	4
ICA1	4
IFI27L2	4
IFIT5	4
IGF2	4
IGF2BP2	4
IGF2BP3	4
IGFBP6	4
IGFBP7	4
IL13RA1	4
IL1RN	4
IL32	4
IL7	4
ILVBL	4
ING3	4
INS	4
IRF1	4
ITGA6	4
ITGB4	4
ITGB6	4
ITM2A	4
ITPRIPL1	4
JUN	4
JUNB	4
KCNJ5	4
KCNK10	4
KCNK16	4
KCNK17	4
KCNK6	4
KCNMB1	4
KCNN4	4
KCNQ1	4
KIF1A	4
KIFC2	4
KLF11	4
KLF13	4
KLF16	4
KLHL7	4
KLK1	4
KRT13	4
KRT14	4
KRT15	4
KRT17	4
KRT18	4
KRT19	4
KRT5	4
KRT6A	4
KRT7	4
KRT8	4
L1CAM	4
LAGE3	4
LAMA2	4
LAMP1	4
LCN2	4
LEFTY1	4
LGALS9C	4
LGR4	4
LIG3	4
LIPH	4
LITAF	4
LMF1	4
LMNA	4
LMO7	4
LRRC17	4
LRRC41	4
LRRC8A	4
LRTM1	4
LSM14A	4
LSMD1	4
LSR	4
LUZP1	4
LYNX1	4
LYPD1	4
LYRM4	4
MACF1	5
MAD1L1	4
MAP1LC3B	4
MAP2	4
MAP7	4
MAPK12	4
MAPK13	4
MAPK7	4
MAPKAPK5	4
MARCH4	4
MARCH6	4
MARK3	4
MAT2B	4
MCF2L2	4
MCM3	4
MCTP2	4
MEF2A	4
METTL3	4
METTL7A	4
MFGE8	4
MFN2	4
MGAT4B	4
MGLL	4
MICAL3	4
MICB	4
MMP23B	4
MMP28	4
MNDA	4
MNT	4
MORF4L2	4
MOSPD3	4
MPG	4
MPHOSPH8	4
